151,COLEGIO CANDIDO PORTINARI - CASINHA FELIZ CENTRO DE ENS,1
152,MASTER FRIO,2
153,W MANUTENÇÃO DE CELULARES,1
154,AUTO PEÇAS E MECANICA QUEIROZ,1
155,LAQUEADORA DE MOVEIS JM,1
156,ODONTO HEALTH,1
157,MARIA DESEMEIRE BARBOSA DE SOUSA ME,1
158,ARPONTOCOM,1
159,RADIOFACE,1
160,NATURA,6
161,CASA NOSSA,1
162,REFORMOVEIS,1
163,CHINVEST COMERCIAL,1
164,IDEIANOVA INFORMATICA,1
165,AUDILEX,1
166,ÁGUIA FILMES,1
167,OCEANAIR REPRESENTACOES,1
168,TELE VIDEO,1
169,FORUM,1
170,SERV OESTE,1
171,DECORTOLDO,1
172,COLEGIO RAZAO,1
173,NELSON SERRA CORREIA FILHO PROMOCOES E EVENTOS ME,1
174,REFRIMONT REFRIGERACAO E MONTAGEM,1
175,SETUP INFORMÁTICA,2
176,POWER IMPORTS,1
177,ELETROVISION PRODUTOS ELETRONICOS,1
178,TRANSCONTINENTAL,1
179,ASTRAL VEICULOS,1
180,CAIXA ECONOMICA FEDERAL,167
181,RDR COMERCIO DE EQUIPAMENTOS ELETRONICOS,1
182,INSTITUTO EDUCACIONAL PAULO FREIRE,1
183,MEGACENTER MATERIAL DE CONSTRUÇÃO,1
184,FOTOLAR,1
185,KENNEX,1
186,ANDES,1
187,LATINA ELETRODOMESTICOS,2
188,EVIDENCIAS,1
189,TOLDOS LIDER,1
190,DATACELL TECNOLOGIA,1
191,TAPEÇARIA SÃO JORGE,1
192,CRIATIVA COBERTURAS,1
193,MARY KAY COSMÉTICOS,1
194,POLLYVEL OU CHEVROVOLKS,1
195,PHENIX - ARMAS DE FOGO,1
196,METAZIL,1
197,COBERPLIN DECORAÇÕES E TELHADOS,1
198,A TELHANOVA TELHADOS,1
199,MOVEIS REIS,1
200,ORIGINALLE MODELS / TCHAN STUDIOS / TCHAN MODELS,2
201,CAR RENTAL SYSTEMS - HERTZ,1
202,SPC GURUPI,1
203,MAIS GSM,1
204,RODAR PNEUS,1
205,TELETRONN,1
206,PRO COZINHA,1
207,GETEC COMÉRCIO DE IMPORTAÇÃO,1
208,CREDIMASTER COBRANÇAS E SERVIÇOS,1
209,BIT COMPANY,8
210,NACIONAL IMÓVEIS,1
211,IBRAE,1
212,PROMARKETING COMERCIO DE INFORMATICA,1
213,CENTRO DE FORMACAO DE CONDUTORES LEAL DE RIO VERDE,1
214,AUTORIZADA BRITÂNIA,1
215,M MURAD,1
216,RADIBRA,1
217,FERREIRA CONSTRUÇÕES,1
218,SERTAVEL MOTOS,1
219,TELEFÁCIL,1
220,MGA INDÚSTRIA MOVELEIRA,1
221,CICAL,1
222,MARU SOM,1
223,BAT BUTPATARIA,1
224,BRASCONSUL,1
225,X-THENIS,2
226,DIGITEC,3
227,LUCENA & LUCENA DROGARIA,1
228,MAE,1
229,METODO MOBILE COMERCIO DE CELULAR GSM,3
230,GARANTECH GARANTIA E SERVIÇOS,1
231,RITMO VEICULOS E PECAS,1
232,DIAGONAL,1
233,MAQUINARIA EXEMPLO CAR,1
234,RIO OTICA,1
235,DISTRIBUIDORANTA JOANA,1
236,ATACADÃO DOS COLCHÕES,1
237,CERAMICA RAMOS,1
238,SERVIBRÁS,1
239,TCN CELULARES,1
240,TUPAN CONSTRUCOES,4
241,SAMSUNG,8
242,COMERCIAL BATISTA,1
243,POLO NORTE,1
244,PROVIEW ELETRÔNICA DO BRASIL,1
245,DI CASA MÓVEIS,1
246,PORTO VITÓRIA,1
247,COLCHÕES ORTOBOM,37
248,ENERMAX,3
249,HIPER MÓVEIS,1
250,LOG INFORMATICA,1
251,ELETRÔNICA ENTERPRISE,1
252,CTA - CENTRO TECNICO DE AVIAÇAO,1
253,BELA ILHA,1
254,MAIS TV,2
255,SHOPPING PROHOSPITAL MAT. MED. E HOSPITALAR,1
