00000000002216,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000315931,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. PARNAÍBA/PI
00000000441058,1,OURO CARD,OURO CARD
00000000005665,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000007951,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000010669,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. CAMPO MAIOR
00000000480703,1,BANCO DO BRASIL - SUP. REGIONAL/RN,BANCO DO BRASIL
00000000007790,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000009652,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000444901,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. CIDADE VERDE
00000000000434,1,BANCO DO BRASIL,BANCO DO BRASILV
00000000006203,1,BANCO DO BRASIL,AGENCIA ESTILO
00000000491314,1,BANCO DO BRASIL AG. 2879-9,BANCO DO BRASIL
00000000461679,1,BANCO DO BRASIL,BANCO DO BRASIL AG_1886-4
00000000462136,1,BANCO DO BRASIL,BANCO DO BRASIL AG_1867-8
00000000410845,1,BANCO DO BRASIL,BAIRRO DO CPA-CUIABA-MT AG.2960-2
00000000562785,1,BANCO DO BRASIL,AGENCIA - 4555-1
00000000515949,1,BANCO DO BRASIL,BANCO DO BRASIL AG_3962-4
00000000004774,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000371335,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. 2956-4 COSTA AZUL
00000000480380,1,BANCO DO BRASIL,BANCO DO BRASIL AG_2781-2
00000000395277,1,BANCO DO BRASIL,BANCO DO BRASIL AG_1505
00000000311944,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. CAMINHO DAS ARVORES
00000000550264,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. 4535-7 (COMPLEXO PERDIGÃO)
00000000502294,1,BANCO DO BRASIL,BANCO DO BRASIL AG_0565-7
00000000083895,1,BANCO DO BRASIL,AGÊNCIA 1242-4 (TAMBÉM OUROCARD)
00000000120090,1,BANCO DO BRASIL,BANCO DO BRASIL AG_1117-7
00000000359807,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. SHOP. IGUATEMI
00000000560146,1,BANCO DO BRASIL,BANCO DO BRASIL AG_4608-6
00000000056812,1,BANCO DO BRASIL,BANCO DO BRASIL AG_0568-1
00000000000604,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000411736,1,BANCO DO BRASIL,AGÊNCIA 3421-5
00000000063860,1,BANCO DO BRASIL,BANCO DO BRASIL AG_0638-6
00000000111937,1,BANCO DO BRASIL,BANCO DO BRASIL AG_0862-1
00000000531391,1,BANCO DO BRASIL,BANCO DO BRASIL AG_4348-6
00000000096288,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000319333,1,BANCO DO BRASIL,BANCO DO BRASIL - AG.BROTAS
00000000365289,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. GARCIA
00000000003611,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000008338,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000441139,1,BANCO DO BRASIL,BANCO DO BRASIL AG. CAMPUS UFRN
00000000079430,1,BANCO DO BRASIL,BANCO DO BRASIL AG_0794-3
00000000399779,1,BANCO DO BRASIL,AGÊNCIA 3483-5
00000000250384,1,BANCO DO BRASIL,AGÊNCIA 3657-9
00000000436569,1,BANCO DO BRASIL,BANCO DO BRASIL AG_3979
00000000322806,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000399345,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. PORTO SECO PIRAJÁ
00000000534145,1,BANCO DO BRASIL,BANCO DO BRASIL- AG CANELA
00000000081094,1,BANCO DO BRASIL,BANCO DO BRASIL AG_0810-9
00000000300403,1,BANCO DO BRASIL,BANCO DO BRASIL AG_1305-6
00000000583430,1,BANCO DO BRASIL,CENTRO DE SERV DE LOGISTICA - OUROCARD MASTERCARD
00000000038245,1,BANCO DO BRASIL,BANCO DO BRASIL AG_1307-2
00000000103403,1,BANCO DO BRASIL,BANCO DO BRASIL AG_0911
00000000005401,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000193801,1,BANCO DO BRASIL,BANCO DO BRASIL AG_2094-X
00000000122467,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000306860,1,BANCO DO BRASIL,BANCO DO BRASIL AG_1311-0
00000000256900,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. SÃO JOSÉ DE RIBAMAR
00000000085405,1,BANCO DO BRASIL,JOAO PAULOO LUIS MA EST UNIF
00000000245542,1,BANCO DO BRASIL,MANGABEIRAS - MACEIO (AL)
00000000031313,1,BANCO DO BRASIL,BANCO DO BRASIL - AGÊNCIA JATAÍ
00000000283630,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000261580,1,BANCO DO BRASIL,AGÊNCIA 1452-4
00000000096369,1,BANCO DO BRASIL,BANCO DO BRASIL  AGENCIA APODI
00000000437026,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000111856,1,BANCO DO BRASIL,OIAPOQUE (AP)
00000000316156,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000034681,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000163902,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000340456,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000524425,1,BANCO DO BRASIL,TARUMA-SINOP (MT)
00000000002135,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000400882,1,BANCO DO BRASIL,AV RUBENS DE MENDONCA-CUIABA-MT AG.3499-1
00000000135445,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000032476,1,BANCO DO BRASIL,AGÊNCIA 0324-7
00000000390046,1,BANCO DO BRASIL,RUA SETE DE SETEMBRO PORTO ALEGRE RS
00000000344443,1,BANCO DO BRASIL,COXIPO CUIABA MT EST UNIF AG.1216-5
00000000091057,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. LIBERDADE
00000000090913,1,BANCO DO BRASIL,BANCO DO BRASIL - AG. ARATU
00000000521590,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000375080,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000177105,1,BANCO DO BRASIL - SUPERINTENDENCIA SC,BANCO DO BRASIL
00000000076767,1,BANCO DO BRASIL,ITABIRA-EST.UNIF.
00000000537241,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000054283,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000096792,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000258601,1,BANCO DO BRASIL,CONGONHAS-MG EST. UNIF
00000000064327,1,BANCO DO BRASIL,AGÊNCIA / FINANCIAMENTO DE VEÍCULOS
00000000410500,1,BANCO DO BRASIL,BANCO DO BRASIL - AG.CAMPUS UNIVERSITARIO
00000000386790,1,BANCO DO BRASIL - AGÊNCIA MINISTÉRIO,AG. MINISTERIO DA FAZENDA-SAO PAULO (SP)
00000000316237,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000535117,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000569364,1,BANCO DO BRASIL,BASE AEREA - CAMPO GRANDE (MS)
00000000516910,1,BANCO DO BRASIL,AGÊNCIA 3888-1
00000000320935,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000316407,1,BANCO DO BRASIL,AGÊNCIA 3659-5 / OUROCARD / VISA
00000000007609,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000223069,1,BANCO DO BRASIL,JARDIM DOS ESTADOS-CAMPO GRANDE-MS
00000000619809,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000618675,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000035068,1,BANCO DO BRASIL,AGÊNCIA 0350-6
00000000047317,1,BANCO DO BRASIL,OURO PRETO-EST.UNIF.
00000000407704,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000025429,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000087297,1,BANCO DO BRASIL,BANCO DO BRASIL AG. 1226-2
00000000490504,1,BANCO DO BRASIL,AGENCIA EXPEDITO
00000000283045,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000552046,1,BANCO DO BRASIL,AGÊNCIA 4536-5
00000000032557,1,BANCO DO BRASIL,SANTO ANTONIO-METR.EST.UNIF.
00000000089079,1,BANCO DO BRASIL,TIRIRICAL -O LUIS/MA
00000000443506,1,BANCO DO BRASIL,CENTRO COMERCIAL - CAMPO GRANDE (MS)
00000000371769,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000160717,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000395358,1,BANCO DO BRASIL,AGÊNCIA 3481-9
00000000347973,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000572900,1,BANCO DO BRASIL,AGÊNCIA 4679-5
00000000596507,1,BANCO DO BRASIL,FPOLIS PRACA XV DE NOVEMBRO / BESC - FLORIANOPOLIS (SC)
00000000482676,1,BANCO DO BRASIL,AG. AREINHA -0 LUIS (MA)
00000000573396,1,BANCO DO BRASIL DA BASE AÉREA - CATRE,BANCO DO BRASIL DA BASE AÉREA - CATRE
00000000537080,1,BANCO DO BRASIL,BANCO DO BRASIL
00000000006718,1,BANCO DO BRASIL,BANCO DO BRASIL
